ID,YEAR,REPORTED_DATE,REPORTED_TIME,OCCURRENCE_DATE,OCCURRENCE_TIME,OCCURRENCE_WEEKDAY,HATE_CRIME_TYPE,PRIMARY_HATE_CRIME_MOTIVATION,HATE_CRIME_INDICATOR,PRIMARY_UCR,PRIMARY_Offence,CCJS_CLEARANCE,ONS_NEIGHBOURHOOD_2019,CITY ,PROVINCE,COUNTRY,OTTAWA_POLICE_SECTOR,OTTAWA_POLICE_DIVISION,CENSUS_TRACT_UNIQUE_ID,CENSUS_TRACT_NAME
16,2020,6-Jul-20,821,6-Jul-20,821,MONDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Bayshore - Belltown,Ottawa,ON,CAN,14,West,5050138.00,0138.00
120,2015,15-Mar-15,849,14-Mar-15,2100,SATURDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,2135,Theft Motor Vehicle,Not Cleared,Bayshore - Belltown,Ottawa,ON,CAN,14,West,5050138.00,0138.00
166,2016,20-Jun-16,1339,20-Jun-16,1339,MONDAY,Religion                     ,Jewish                     ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Bayshore - Belltown,Ottawa,ON,CAN,14,West,5050138.00,0138.00
322,2020,20-Oct-20,1919,20-Oct-20,1919,TUESDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,1625,Harass Crim Stalking,Cleared,Bayshore - Belltown,Ottawa,ON,CAN,14,West,5050138.00,0138.00
528,2020,31-Aug-20,825,29-Aug-20,2020,SATURDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Bayshore - Belltown,Ottawa,ON,CAN,14,West,5050138.00,0138.00
315,2020,16-Aug-20,2044,23-Jun-20,1200,TUESDAY,Race/Ethnicity               ,East And Southeast Asian   ,HC CONFIRMED,1626,Harass Communications,Cleared,Beacon Hill South - Cardinal Heights,Ottawa,ON,CAN,32,East,5050121.02,0121.02
609,2019,25-Oct-19,2044,25-Oct-19,0,FRIDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Beacon Hill South - Cardinal Heights,Ottawa,ON,CAN,32,East,5050121.01,0121.01
183,2017,26-Jun-17,1048,26-Jun-17,1048,MONDAY,Religion                     ,Jewish                     ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Beaverbrook,Ottawa,ON,CAN,13,West,5050160.02,0160.02
185,2017,27-Jul-17,2223,27-Jul-17,1830,THURSDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Beaverbrook,Ottawa,ON,CAN,13,West,5050160.02,0160.02
229,2018,19-Sep-18,900,15-Sep-18,845,SATURDAY,Religion                     ,Jewish                     ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Beaverbrook,Ottawa,ON,CAN,13,West,5050160.02,0160.02
417,2020,10-Feb-20,814,10-Feb-20,745,MONDAY,Religion                     ,Jewish                     ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Beaverbrook,Ottawa,ON,CAN,13,West,5050160.02,0160.02
513,2018,16-Sep-18,1402,16-Sep-18,1402,SUNDAY,Race/Ethnicity               ,White                      ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Beaverbrook,Ottawa,ON,CAN,13,West,5050160.02,0160.02
517,2019,8-Sep-19,1120,8-Sep-19,1120,SUNDAY,Race/Ethnicity               ,Multiple Races/Ethnicities ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Beaverbrook,Ottawa,ON,CAN,13,West,5050160.02,0160.02
467,2016,9-Mar-16,1641,8-Mar-16,1844,TUESDAY,Race/Ethnicity               ,Arab/West Asian            ,HC CONFIRMED,1626,Harass Communications,Not Cleared,Bells Corners East,Ottawa,ON,CAN,15,West,5050136.01,0136.01
19,2018,30-Jan-18,704,30-Jan-18,704,TUESDAY,Religion                     ,Muslim                     ,HC CONFIRMED,2176,Mischief Hate Cultrl/Rel Prop,Not Cleared,Bells Corners West,Ottawa,ON,CAN,15,West,5050136.02,0136.02
70,2020,29-Oct-20,1349,28-Oct-20,1700,WEDNESDAY,Race/Ethnicity               ,Other Race/Ethnicity       ,HC CONFIRMED,1627,Threats Utter To Person,Not Cleared,Bells Corners West,Ottawa,ON,CAN,15,West,5050136.02,0136.02
573,2020,13-Jul-20,1439,1-Jun-20,0,MONDAY,Race/Ethnicity               ,Black                      ,HC SUSPECTED,2170,Mischief To Property,Not Cleared,Bells Corners West,Ottawa,ON,CAN,15,West,5050136.02,0136.02
582,2019,20-Apr-19,1757,20-Apr-19,100,SATURDAY,Religion                     ,Jewish                     ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Bells Corners West,Ottawa,ON,CAN,15,West,5050136.02,0136.02
42,2016,29-Sep-16,757,29-Sep-16,618,THURSDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Billings Bridge - Alta Vista,Ottawa,ON,CAN,34,East,5050004.00,0004.00
200,2016,9-Jul-16,1248,9-Jul-16,1248,SATURDAY,Religion                     ,Jewish                     ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Billings Bridge - Alta Vista,Ottawa,ON,CAN,34,East,5050004.00,0004.00
264,2020,22-Jul-20,1120,22-Jul-20,1120,WEDNESDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Billings Bridge - Alta Vista,Ottawa,ON,CAN,34,East,5050004.00,0004.00
471,2016,18-Nov-16,1451,18-Nov-16,1300,FRIDAY,Religion                     ,Jewish                     ,HC SUSPECTED,2170,Mischief To Property,Not Cleared,Billings Bridge - Alta Vista,Ottawa,ON,CAN,34,East,5050006.00,0006.00
498,2020,16-Dec-20,2040,1-Dec-20,0,TUESDAY,Religion                     ,Jewish                     ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Billings Bridge - Alta Vista,Ottawa,ON,CAN,34,East,5050004.00,0004.00
631,2016,14-Sep-16,1101,14-Sep-16,1101,WEDNESDAY,Religion                     ,Jewish                     ,HC CONFIRMED,3770,Threats Letters,Not Cleared,Billings Bridge - Alta Vista,Ottawa,ON,CAN,34,East,5050006.00,0006.00
126,2017,16-Oct-17,807,9-Oct-17,800,MONDAY,Race/Ethnicity               ,Black                      ,HC CONFIRMED,2170,Mischief To Property,Not Cleared,Blackburn Hamlet,Ottawa,ON,CAN,31,East,5050125.02,0125.02
